date,cloud_pct,scene_id
2023-05-01,1.2,S2B_MSIL2A_20230501T165849_R069_T15TVG_20230711T232428
2023-05-01,1.3,S2B_MSIL2A_20230501T165849_R069_T15TVG_20240831T075937
2023-05-26,0.8,S2A_MSIL2A_20230526T165901_R069_T15TVG_20230527T024554
2023-05-26,0.7,S2A_MSIL2A_20230526T165901_R069_T15TVG_20240906T131926
2023-05-31,19.4,S2B_MSIL2A_20230531T165849_R069_T15TVG_20230601T002516
2023-05-31,19.4,S2B_MSIL2A_20230531T165849_R069_T15TVG_20240908T074954
2023-06-15,0.2,S2A_MSIL2A_20230615T165901_R069_T15TVG_20230616T031157
2023-06-15,0.2,S2A_MSIL2A_20230615T165901_R069_T15TVG_20240913T161323
2023-06-20,0.0,S2B_MSIL2A_20230620T165849_R069_T15TVG_20230621T001910
2023-07-10,0.0,S2B_MSIL2A_20230710T165849_R069_T15TVG_20230711T004706
2023-07-10,0.0,S2B_MSIL2A_20230710T165849_R069_T15TVG_20241022T005645
2023-07-15,0.1,S2A_MSIL2A_20230715T165851_R069_T15TVG_20230716T023640
2023-07-20,4.1,S2B_MSIL2A_20230720T165849_R069_T15TVG_20230721T000843
2023-07-30,2.4,S2B_MSIL2A_20230730T165849_R069_T15TVG_20241019T075408
2023-07-30,2.4,S2B_MSIL2A_20230730T165849_R069_T15TVG_20230731T002515
2023-08-19,3.7,S2B_MSIL2A_20230819T165849_R069_T15TVG_20230819T233640
2023-08-19,3.7,S2B_MSIL2A_20230819T165849_R069_T15TVG_20241019T112939
2023-08-29,1.4,S2B_MSIL2A_20230829T165849_R069_T15TVG_20230830T002641
2023-08-29,1.4,S2B_MSIL2A_20230829T165849_R069_T15TVG_20241025T235058
2023-09-03,0.0,S2A_MSIL2A_20230903T165851_R069_T15TVG_20230904T022941
2023-09-03,0.0,S2A_MSIL2A_20230903T165851_R069_T15TVG_20241104T083050
2023-09-08,0.0,S2B_MSIL2A_20230908T165849_R069_T15TVG_20230909T011700
2023-09-13,12.3,S2A_MSIL2A_20230913T165921_R069_T15TVG_20230914T030041
2023-09-13,12.3,S2A_MSIL2A_20230913T165921_R069_T15TVG_20241031T182200
2023-09-18,12.4,S2B_MSIL2A_20230918T165859_R069_T15TVG_20230919T024330
